,playerId,docId,dateTime,op,targetType,id,prev,next,order,dateTimeMS,frequency,seconds,isCorrect
15,1,2019051607140510341658364e000b0746a4b6c43fe1793b26bc,2019-05-16T07:15:15,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:15:15.922Z,7.0,67.52199983596802,1.0
33,2,201905160700580737500a37fcc0702348d3b32a148c50dd124b,2019-05-16T07:02:02,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s18,s17",2019-05-16T07:02:02.957Z,8.0,61.694000005722046,1.0
49,3,20190514053220644466258ae527e2774293826ec914acfeb149,2019-05-14T05:33:13,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T05:33:13.890Z,7.0,49.46500015258789,1.0
75,4,20190514080354539808d87a63b35ae04572a553e7fee7254e49,2019-05-14T08:04:56,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T08:04:56.017Z,12.0,58.460999965667725,1.0
93,5,201905160843106120616adbc298fd014adeabc9b3910c20188c,2019-05-16T08:44:23,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:44:23.187Z,8.0,69.47000002861023,1.0
111,6,201905160827356274368589118b5ecc4b779aef5ae237dafcac,2019-05-16T08:29:10,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:29:10.693Z,8.0,94.14800000190735,1.0
153,8,20190514071611240300960f94aff73e4542badf7304595bd3b5,2019-05-14T07:17:19,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T07:17:19.500Z,9.0,67.56299996376038,1.0
165,9,2019051407145210543130c693a5c3c745b4a8f39446f756a67e,2019-05-14T07:16:11,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T07:16:11.980Z,5.0,76.13100004196167,1.0
183,10,2019051608175898385540e93a8218a04538ac7f997f3d5e775a,2019-05-16T08:19:19,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:19:19.350Z,8.0,77.68299984931946,1.0
203,11,2019051608012895878804a8ce5fd0e74616bd2d41f9d28b182f,2019-05-16T08:02:41,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:02:41.592Z,9.0,69.25099992752075,1.0
225,12,20190514060056857733a5e47b5aaa5b4315a1939c84e767f363,2019-05-14T06:02:20,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T06:02:20.746Z,10.0,79.19600009918213,1.0
255,14,20190516075901887464ff4bd96da9b845a2ae0f57a2a1313e5b,2019-05-16T08:00:39,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:00:39.530Z,7.0,94.5920000076294,1.0
279,15,20190514063640145087a3f391da4e9e4b8aaee1071ab705a523,2019-05-14T06:37:49,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T06:37:49.221Z,11.0,66.13899993896484,1.0
297,16,20190516080503700628624c4f137f264bc0b87661d1adf4810f,2019-05-16T08:06:53,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:06:53.683Z,8.0,109.17600011825562,1.0
319,17,201905160815058525606c273d1ff29547d3a0fcd320e1147067,2019-05-16T08:16:29,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:16:29.492Z,10.0,80.41300010681152,1.0
337,18,20190516075717441574cee2276241e74a62a326f505c7822b5b,2019-05-16T07:58:18,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:58:18.641Z,8.0,58.16499996185303,1.0
359,19,201905140616334787091979214144f14a018a1f9e86922fe105,2019-05-14T06:17:38,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T06:17:38.471Z,10.0,62.09500002861023,1.0
375,20,20190523004028904110e4dd65c1784447058ef57ddeb7d73b63,2019-05-23T00:41:31,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-23T00:41:31.219Z,7.0,53.229000091552734,1.0
395,21,201905160825148778998353cd6eaabd4c3580f81e84d982ad93,2019-05-16T08:26:45,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:26:45.087Z,9.0,89.04199981689453,1.0
427,23,20190514062114563005d039df43ab474aa98fa8c8f0ba963e4b,2019-05-14T06:22:12,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T06:22:12.083Z,10.0,54.62299990653992,1.0
441,24,20190516075445234028c54eb45ef49a406aa619d9d023d4a55d,2019-05-16T07:55:27,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:55:27.768Z,6.0,41.88199996948242,1.0
459,25,20190516084030734360282d9fc5bbeb45c6825394863553be2a,2019-05-16T08:43:02,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:43:02.937Z,8.0,151.57999992370605,1.0
481,27,2019051412322199073251228abda8dd40a6930df640b46d4b89,2019-05-14T12:34:01,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T12:34:01.598Z,7.0,89.53900003433228,1.0
503,28,20190516073710272632d33d1f3b76bd4c6394c3d26df190d80c,2019-05-16T07:38:12,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:38:12.182Z,10.0,58.52300000190735,1.0
521,29,20190514064013369808a0cb6c1da0e7402782241c25ad19d6a9,2019-05-14T06:42:07,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T06:42:07.383Z,8.0,110.7279999256134,1.0
535,30,2019051607401126172849638ae61de845b8aaaef05d67e1feb2,2019-05-16T07:40:59,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:40:59.817Z,6.0,47.89699983596802,1.0
545,31,20190514063323238684c96f96d260dd445da1850c34c3eb15ab,2019-05-14T06:34:09,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s18,s17",2019-05-14T06:34:09.971Z,4.0,42.76900005340576,1.0
557,32,201905160723187225485c4373acabec495592ce8b5d9a35ce4e,2019-05-16T07:24:22,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:24:22.420Z,5.0,63.0770001411438,1.0
577,33,20190514061239701253d10b588891bd4cbd837e2b062282c5fa,2019-05-14T06:16:20,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T06:16:20.334Z,9.0,215.97000002861023,1.0
593,34,20190516080811749343b6e6f44228374170ab0ffb1a45862134,2019-05-16T08:09:18,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:09:18.296Z,7.0,63.64299988746643,1.0
603,35,201905160745030380716729aadfc8f54d00b630b77add0a9579,2019-05-16T07:45:51,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s18,s17",2019-05-16T07:45:51.918Z,4.0,45.53999996185303,1.0
637,36,20190516080424778579b386e98bad124198a546aae224adf144,2019-05-16T08:07:14,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:07:14.325Z,16.0,168.94200015068054,1.0
649,37,2019051607392278552357723f3d82bf40bc9bdc4ec12176964a,2019-05-16T07:40:32,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:40:32.195Z,5.0,63.90899991989136,1.0
665,38,20190516075339931453e38d6e15c0f3458eb9249c3c8b64ac4d,2019-05-16T08:17:56,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:17:56.230Z,7.0,1452.7509999275208,1.0
679,39,201905160804466320200c251ca21c1742239332d52b2e97d3d6,2019-05-16T08:06:53,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T08:06:53.568Z,6.0,126.30900001525879,1.0
735,42,20190516074714393194711d9a7ffdec4f899dfcacb24164cc4a,2019-05-16T07:48:38,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:48:38.748Z,6.0,81.09699988365173,1.0
753,43,20190516072332606217d8b2c35cefbb427497cb6275682cd0df,2019-05-16T07:24:38,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:24:38.012Z,8.0,64.74900007247925,1.0
787,45,2019051607404422387406da505cd69f43599716f6f6d4ccacfd,2019-05-16T07:42:07,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:42:07.155Z,9.0,82.23799991607666,1.0
807,46,201905140520090053806bce06a3c939408a974aefd9610f00a2,2019-05-14T05:22:36,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-14T05:22:36.653Z,9.0,143.2480001449585,1.0
823,47,20190514060441902158ecf67e637a7d427ab10ef42f848a032c,2019-05-14T06:06:14,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s18,s17",2019-05-14T06:06:14.062Z,7.0,88.27999997138977,1.0
847,48,20190516074136241524f4a05ef361c145d89c105bd0a91fe8e4,2019-05-16T07:44:16,cc_completed,span,,,,"s10,s11,s12,s13,s14,s15,s16,s17,s18",2019-05-16T07:44:16.701Z,11.0,157.84699988365173,1.0
